filename,m,n,k,fitness,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,mutate,mutation_rate,dist_type,selection_type
scpc5.txt,4000,400,200,400,6.306677579879761,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc4.txt,4000,400,200,400,3.342036008834839,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc3.txt,4000,400,200,400,4.122713565826416,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc2.txt,4000,400,200,400,1.1979649066925049,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc1.txt,4000,400,200,400,1.1184325218200684,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb5.txt,3000,300,150,300,0.10452842712402344,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb4.txt,3000,300,150,300,0.10754609107971191,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb3.txt,3000,300,150,300,0.11044001579284668,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb2.txt,3000,300,150,300,0.11228799819946289,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb1.txt,3000,300,150,300,0.12557005882263184,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa5.txt,3000,300,150,299,107.87684965133667,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa4.txt,3000,300,150,300,38.769898653030396,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa3.txt,3000,300,150,299,103.20725607872009,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa2.txt,3000,300,150,299,88.70278549194336,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa1.txt,3000,300,150,299,89.73638868331909,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp49.txt,1000,200,50,156,43.02746033668518,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp48.txt,1000,200,50,156,41.82977366447449,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,154,46.6003737449646,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,156,48.13282251358032,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp45.txt,1000,200,50,156,47.25052857398987,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp44.txt,1000,200,50,156,46.02199172973633,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp43.txt,1000,200,50,155,46.61686444282532,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,156,46.97165250778198,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp410.txt,1000,200,50,155,46.9543240070343,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp41.txt,1000,200,50,157,44.844767570495605,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
