filename,m,n,k,initial_fitness,fitness,iteration,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,dist_type,selection_type
scpc5.txt,4000,400,200,395,399,100,1.386265516281128,10,,linear,,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,395,400,139,1.9993093013763428,10,,linear,,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,57,0.7116260528564453,10,,linear,,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,1.2215867042541504,10,,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,399,300,3.842772960662842,10,,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,325,4.147135019302368,10,,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,52,0.7458195686340332,10,,linear,,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,1.2384824752807617,10,,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,144,1.783038854598999,10,,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,399,100,1.42085599899292,10,,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,400,143,2.0886335372924805,10,,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,397,400,70,1.1114416122436523,10,,linear,,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,399,400,78,1.5288662910461426,10,,linear,,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,400,36,0.723883867263794,10,,linear,,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,398,399,100,1.9546656608581543,10,,linear,,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,398,400,191,3.675286293029785,10,,linear,,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,399,400,10,0.18481087684631348,10,,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,3,0.0636148452758789,10,,linear,,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,398,400,78,1.4755935668945312,10,,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,399,100,1.9240076541900635,10,,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,400,164,3.129631280899048,10,,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,1.8611466884613037,10,,linear,,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,109,2.0211870670318604,10,,linear,,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,84,1.8151133060455322,10,,linear,,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,394,400,30,0.5656905174255371,10,,linear,,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,36,0.7246348857879639,10,,linear,,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,398,399,100,2.7900054454803467,10,,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,291,8.39424204826355,10,,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,46,1.1830627918243408,10,,linear,,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.448028564453125,10,,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,174,4.308625936508179,10,,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,399,100,2.395355463027954,10,,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,400,159,3.771775245666504,10,,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,397,400,70,1.646747350692749,10,,linear,,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,54,1.2498862743377686,10,,linear,,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,397,400,92,2.03922438621521,10,,fixed,0.2,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,94,2.0432748794555664,10,,fixed,0.2,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,400,17,0.37288689613342285,10,,fixed,0.2,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,395,400,44,0.9950056076049805,10,,fixed,0.2,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.170351028442383,10,,fixed,0.2,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,214,4.429383754730225,10,,fixed,0.2,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,92,2.0385186672210693,10,,fixed,0.2,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,395,399,100,2.0911924839019775,10,,fixed,0.2,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,395,400,107,2.2511887550354004,10,,fixed,0.2,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,88,1.9537034034729004,10,,fixed,0.2,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,397,400,28,0.6163110733032227,10,,fixed,0.5,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,398,399,100,2.2400975227355957,10,,fixed,0.5,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,398,400,161,3.601475238800049,10,,fixed,0.5,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,399,400,21,0.44843125343322754,10,,fixed,0.5,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,399,100,2.3758883476257324,10,,fixed,0.5,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,300,7.137588262557983,10,,fixed,0.5,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,500,11.84881591796875,10,,fixed,0.5,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,700,17.223079681396484,10,,fixed,0.5,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,400,766,19.19661593437195,10,,fixed,0.5,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.62869930267334,10,,fixed,0.5,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,109,2.8502724170684814,10,,fixed,0.5,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,95,2.5037567615509033,10,,fixed,0.5,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,397,399,100,1.9626634120941162,10,,fixed,0.5,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,184,3.6450748443603516,10,,fixed,0.5,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,4,0.08137845993041992,10,,fixed,0.5,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,398,400,49,0.9756255149841309,10,,fixed,0.7,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,397,399,100,2.247849941253662,10,,fixed,0.7,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,397,400,121,2.702198028564453,10,,fixed,0.7,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.030278205871582,10,,fixed,0.7,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,212,4.382627248764038,10,,fixed,0.7,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,397,399,100,2.171644687652588,10,,fixed,0.7,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,397,400,102,2.213871955871582,10,,fixed,0.7,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,395,399,100,1.9424374103546143,10,,fixed,0.7,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,395,400,140,2.7694313526153564,10,,fixed,0.7,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,44,0.9083149433135986,10,,fixed,0.7,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,397,399,100,2.1299655437469482,10,,fixed,0.7,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,178,3.7472898960113525,10,,fixed,0.7,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,397,400,30,0.6292834281921387,10,,fixed,0.7,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.113969564437866,10,30,linear,,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,130,2.712441921234131,10,30,linear,,1.5,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,13,0.27699804306030273,10,30,linear,,1.5,1.5,HD,stochastic
scpc5.txt,4000,400,200,399,399,100,2.204810380935669,10,30,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,399,400,112,2.483348846435547,10,30,linear,,1.5,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,399,400,48,0.9985601902008057,10,30,linear,,1.5,2.0,HD,stochastic
scpc5.txt,4000,400,200,396,399,100,2.0245869159698486,10,30,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,400,124,2.5464909076690674,10,30,linear,,2.0,1.5,bit-wise,stochastic
scpc5.txt,4000,400,200,396,399,100,2.1495964527130127,10,30,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,396,400,118,2.5442676544189453,10,30,linear,,2.0,1.5,HD,stochastic
scpc5.txt,4000,400,200,400,400,1,0.02377033233642578,10,30,linear,,2.0,2.0,bit-wise,stochastic
scpc5.txt,4000,400,200,398,400,13,0.2671847343444824,10,30,linear,,2.0,2.0,HD,stochastic
scpc5.txt,4000,400,200,398,399,100,2.17364239692688,10,30,linear,,1.5,1.5,bit-wise,stochastic
