filename,m,n,k,fitness,iteration,execution_time(s),num_particles,inertia_type,inertia_value,neighborhood_size,c1,c2,dist_type,selection_type
scpb3.txt,3000,300,150,300,1,0.015923738479614258,10,linear,,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017143964767456055,10,linear,,,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.0180361270904541,10,linear,,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.014440298080444336,10,linear,,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01831960678100586,10,linear,,,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01989889144897461,10,linear,,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01785564422607422,10,linear,,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01669144630432129,10,linear,,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.018180131912231445,10,linear,,30,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01576519012451172,10,linear,,30,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01978325843811035,10,linear,,30,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01943230628967285,10,linear,,30,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.016148805618286133,10,linear,,30,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.015917539596557617,10,linear,,30,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.015595197677612305,10,linear,,30,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017913341522216797,10,linear,,30,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.013373851776123047,10,linear,,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017210006713867188,10,linear,,,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.020683765411376953,10,linear,,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01709723472595215,10,linear,,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.015993356704711914,10,linear,,,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.015076637268066406,10,linear,,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.020618677139282227,10,linear,,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01738142967224121,10,linear,,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.016699790954589844,10,linear,,30,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.015027523040771484,10,linear,,30,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.0202634334564209,10,linear,,30,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.015144109725952148,10,linear,,30,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.016344785690307617,10,linear,,30,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.014925003051757812,10,linear,,30,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.018755435943603516,10,linear,,30,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.014215707778930664,10,linear,,30,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.02002263069152832,10,linear,,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.014926433563232422,10,linear,,,1.5,1.5,HD,stochastic
