filename,m,n,k,fitness,iteration,execution_time(s),num_particles,inertia_type,inertia_value,neighborhood_size,c1,c2,dist_type,selection_type
scpb4.txt,3000,300,150,300,1,0.01655435562133789,10,linear,,,1.5,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.018136978149414062,10,linear,,,1.5,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.0164949893951416,10,linear,,,1.5,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.013657808303833008,10,linear,,,1.5,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.032639503479003906,10,linear,,,2.0,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.022451400756835938,10,linear,,,2.0,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.018718719482421875,10,linear,,,2.0,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.013860225677490234,10,linear,,,2.0,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.016338825225830078,10,linear,,30,1.5,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.0160672664642334,10,linear,,30,1.5,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.02325153350830078,10,linear,,30,1.5,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.01595759391784668,10,linear,,30,1.5,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.022391557693481445,10,linear,,30,2.0,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.015455484390258789,10,linear,,30,2.0,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.017618179321289062,10,linear,,30,2.0,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.015049934387207031,10,linear,,30,2.0,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.018094778060913086,10,linear,,,1.5,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.018993854522705078,10,linear,,,1.5,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.018996715545654297,10,linear,,,1.5,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.01493215560913086,10,linear,,,1.5,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.01817917823791504,10,linear,,,2.0,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.015315771102905273,10,linear,,,2.0,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.01433563232421875,10,linear,,,2.0,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.02259206771850586,10,linear,,,2.0,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.020528793334960938,10,linear,,30,1.5,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.020043611526489258,10,linear,,30,1.5,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.015313386917114258,10,linear,,30,1.5,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.020725488662719727,10,linear,,30,1.5,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.0164492130279541,10,linear,,30,2.0,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.015332937240600586,10,linear,,30,2.0,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.016575336456298828,10,linear,,30,2.0,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.016678333282470703,10,linear,,30,2.0,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.015911579132080078,10,linear,,,1.5,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.021101951599121094,10,linear,,,1.5,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.016951322555541992,10,linear,,,1.5,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.02017378807067871,10,linear,,,1.5,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.014433145523071289,10,linear,,,2.0,1.5,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.023369789123535156,10,linear,,,2.0,1.5,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.015926361083984375,10,linear,,,2.0,2.0,bit-wise,stochastic
scpb4.txt,3000,300,150,300,1,0.02407097816467285,10,linear,,,2.0,2.0,HD,stochastic
scpb4.txt,3000,300,150,300,1,0.01741337776184082,10,linear,,30,1.5,1.5,bit-wise,stochastic
