filename,m,n,k,fitness
scpc5.txt,4000,400,200,400
scpc4.txt,4000,400,200,400
scpc3.txt,4000,400,200,400
scpc2.txt,4000,400,200,400
scpc1.txt,4000,400,200,400
scpb5.txt,3000,300,150,300
scpb4.txt,3000,300,150,300
scpb3.txt,3000,300,150,300
scpb2.txt,3000,300,150,300
scpb1.txt,3000,300,150,300
scpa5.txt,3000,300,150,299
scpa4.txt,3000,300,150,299
scpa3.txt,3000,300,150,299
scpa2.txt,3000,300,150,299
scpa1.txt,3000,300,150,299
scp49.txt,1000,200,50,168
scp48.txt,1000,200,50,173
scp47.txt,1000,200,50,172
scp46.txt,1000,200,50,172
scp45.txt,1000,200,50,168
scp44.txt,1000,200,50,164
scp43.txt,1000,200,50,175
scp42.txt,1000,200,50,176
scp410.txt,1000,200,50,176
scp41.txt,1000,200,50,173
