filename,m,n,k,fitness,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,mutate,mutation_rate,dist_type,selection_type
scpc5.txt,4000,400,200,400,0.2836179733276367,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc4.txt,4000,400,200,400,0.28992533683776855,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc3.txt,4000,400,200,400,1.0420901775360107,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc2.txt,4000,400,200,400,0.11233854293823242,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpc1.txt,4000,400,200,400,1.6914751529693604,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb5.txt,3000,300,150,300,0.08481669425964355,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb4.txt,3000,300,150,300,0.08487725257873535,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb3.txt,3000,300,150,300,0.0979921817779541,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb2.txt,3000,300,150,300,0.08115315437316895,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpb1.txt,3000,300,150,300,0.08303570747375488,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa5.txt,3000,300,150,299,87.24621891975403,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa4.txt,3000,300,150,299,81.16820669174194,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa3.txt,3000,300,150,299,94.34065842628479,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa2.txt,3000,300,150,300,66.86895847320557,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scpa1.txt,3000,300,150,299,91.53052353858948,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp49.txt,1000,200,50,158,55.19011473655701,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp48.txt,1000,200,50,157,58.20901942253113,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,154,59.344449520111084,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,158,59.66316771507263,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp45.txt,1000,200,50,155,61.07873582839966,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp44.txt,1000,200,50,157,58.69156289100647,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp43.txt,1000,200,50,160,54.93775916099548,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,155,53.80684447288513,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp410.txt,1000,200,50,155,56.3330180644989,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp41.txt,1000,200,50,156,57.23727774620056,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
