filename,m,n,k,initial_fitness,fitness,iteration,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,mutate,mutation_rate,dist_type,selection_type
scp41.txt,1000,200,50,140,150,100,4.634951591491699,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp41.txt,1000,200,50,140,152,300,14.814056873321531,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp41.txt,1000,200,50,140,154,500,25.1301486492157,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp41.txt,1000,200,50,140,154,700,36.55371475219727,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp41.txt,1000,200,50,140,156,1000,54.71351337432861,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp41.txt,1000,200,50,145,152,100,6.039994955062866,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp41.txt,1000,200,50,145,152,300,18.10550165176392,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp41.txt,1000,200,50,145,154,500,30.22248148918152,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp41.txt,1000,200,50,145,154,700,42.40390110015869,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp41.txt,1000,200,50,145,157,1000,60.709627628326416,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp41.txt,1000,200,50,144,149,100,6.108248233795166,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp41.txt,1000,200,50,144,150,300,18.321815729141235,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp41.txt,1000,200,50,144,151,500,30.551226377487183,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp41.txt,1000,200,50,144,154,700,42.76033663749695,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp41.txt,1000,200,50,144,154,1000,61.36010789871216,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp41.txt,1000,200,50,145,151,100,6.123485326766968,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp41.txt,1000,200,50,145,152,300,18.36185908317566,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp41.txt,1000,200,50,145,154,500,30.68154978752136,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp41.txt,1000,200,50,145,154,700,42.9680814743042,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp41.txt,1000,200,50,145,156,1000,61.43363237380981,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp42.txt,1000,200,50,142,154,100,4.65544581413269,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp42.txt,1000,200,50,142,154,300,14.75638198852539,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
