filename,m,n,k,fitness,execution_time(s)
scpc5.txt,4000,400,200,400,0.003613710403442383
scpc4.txt,4000,400,200,400,0.012622833251953125
scpc3.txt,4000,400,200,400,0.005112409591674805
scpc2.txt,4000,400,200,400,0.011502504348754883
scpc1.txt,4000,400,200,400,0.016453981399536133
scpb5.txt,3000,300,150,300,0.004830360412597656
scpb4.txt,3000,300,150,300,0.005099058151245117
scpb3.txt,3000,300,150,300,0.0049440860748291016
scpb2.txt,3000,300,150,300,0.004693746566772461
scpb1.txt,3000,300,150,300,0.004754543304443359
scpa5.txt,3000,300,150,299,0.004629611968994141
scpa4.txt,3000,300,150,299,0.004079341888427734
scpa3.txt,3000,300,150,299,0.0076122283935546875
scpa2.txt,3000,300,150,299,0.003595590591430664
scpa1.txt,3000,300,150,299,0.0036325454711914062
scp49.txt,1000,200,50,168,0.0019371509552001953
scp48.txt,1000,200,50,173,0.0010676383972167969
scp47.txt,1000,200,50,172,0.0010752677917480469
scp46.txt,1000,200,50,172,0.0010700225830078125
scp45.txt,1000,200,50,168,0.0011067390441894531
scp44.txt,1000,200,50,164,0.001051187515258789
scp43.txt,1000,200,50,175,0.0010347366333007812
scp42.txt,1000,200,50,176,0.0010144710540771484
scp410.txt,1000,200,50,176,0.000993967056274414
scp41.txt,1000,200,50,173,0.0010228157043457031
