filename,m,n,k,fitness,used_budget,completed,valid,execution_time(s)
scp41.txt,1000,200,50,86,28,False,False,3600.003184556961
scp410.txt,1000,200,50,94,28,False,False,3600.0031881332397
scp42.txt,1000,200,50,98,28,False,False,3600.0030586719513
scp43.txt,1000,200,50,77,26,False,False,3600.003186225891
scp44.txt,1000,200,50,82,26,False,False,3600.0030739307404
scp45.txt,1000,200,50,99,29,False,False,3600.003149986267
scp46.txt,1000,200,50,86,25,False,False,3600.003040075302
scp47.txt,1000,200,50,80,25,False,False,3600.003158569336
scp48.txt,1000,200,50,79,26,False,False,3600.0031809806824
scp49.txt,1000,200,50,89,26,False,False,3600.003175497055
scpa1.txt,3000,300,150,126,27,False,False,3600.021491289139
scpa2.txt,3000,300,150,105,28,False,False,3600.021846294403
scpa3.txt,3000,300,150,124,27,False,False,3600.019991874695
scpa4.txt,3000,300,150,105,28,False,False,3600.0203137397766
scpa5.txt,3000,300,150,113,28,False,False,3600.0196492671967
scpb1.txt,3000,300,150,218,28,False,False,3600.0204548835754
scpb2.txt,3000,300,150,219,28,False,False,3600.020495891571
scpb3.txt,3000,300,150,229,27,False,False,3600.02125787735
scpb4.txt,3000,300,150,222,28,False,False,3600.0229771137238
scpb5.txt,3000,300,150,235,28,False,False,3600.02143907547
scpc1.txt,4000,400,200,128,27,False,False,3600.0356278419495
scpc2.txt,4000,400,200,142,28,False,False,3600.0491874217987
scpc3.txt,4000,400,200,168,28,False,False,3600.045243024826
scpc4.txt,4000,400,200,166,27,False,False,3600.035638809204
scpc5.txt,4000,400,200,149,28,False,False,3600.034036874771
